Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,V-Shape,62,TSSC,Spring,6.1,22.9,26.1,82.99,0.01,66.39,0.01,0.5,0.67
2025-02-01,05:30,V-Shape,62,TSSC,Spring,12.2,23.2,26.5,82.86,0.02,66.29,0.02,1.1,0.67
2025-02-01,05:45,V-Shape,62,TSSC,Spring,18.3,23.5,26.9,82.72,0.03,66.18,0.02,1.6,0.67
2025-02-01,06:00,V-Shape,62,TSSC,Spring,24.5,23.7,27.3,82.59,0.04,66.07,0.03,2.1,0.67
2025-02-01,06:15,V-Shape,62,TSSC,Spring,60.2,24.3,28.8,82.13,0.09,65.71,0.08,5.2,0.67
2025-02-01,06:30,V-Shape,62,TSSC,Spring,95.9,24.8,30.2,81.68,0.15,65.34,0.13,8.3,0.67
2025-02-01,06:45,V-Shape,62,TSSC,Spring,131.7,25.4,31.6,81.22,0.21,64.98,0.17,11.3,0.67
2025-02-01,07:00,V-Shape,62,TSSC,Spring,167.4,25.9,33.1,80.77,0.26,64.61,0.22,14.3,0.67
2025-02-01,07:15,V-Shape,62,TSSC,Spring,210.3,26.5,34.7,80.25,0.33,64.2,0.28,17.9,0.67
2025-02-01,07:30,V-Shape,62,TSSC,Spring,253.3,27.0,36.3,79.73,0.4,63.79,0.34,21.4,0.67
2025-02-01,07:45,V-Shape,62,TSSC,Spring,296.2,27.6,38.0,79.22,0.47,63.37,0.39,24.9,0.67
2025-02-01,08:00,V-Shape,62,TSSC,Spring,339.2,28.1,39.6,78.7,0.54,62.96,0.45,28.4,0.67
2025-02-01,08:15,V-Shape,62,TSSC,Spring,396.9,28.6,41.5,78.1,0.63,62.48,0.53,33.0,0.67
2025-02-01,08:30,V-Shape,62,TSSC,Spring,454.5,29.0,43.4,77.51,0.72,62.01,0.61,37.6,0.67
2025-02-01,08:45,V-Shape,62,TSSC,Spring,512.2,29.5,45.3,76.91,0.82,61.53,0.68,42.1,0.67
2025-02-01,09:00,V-Shape,62,TSSC,Spring,569.9,29.9,47.2,76.31,0.91,61.05,0.76,46.6,0.67
2025-02-01,09:15,V-Shape,62,TSSC,Spring,622.5,30.3,48.8,75.79,1.0,60.63,0.84,50.6,0.67
2025-02-01,09:30,V-Shape,62,TSSC,Spring,675.0,30.6,50.5,75.26,1.08,60.21,0.91,54.6,0.67
2025-02-01,09:45,V-Shape,62,TSSC,Spring,727.6,31.0,52.1,74.73,1.17,59.79,0.98,58.5,0.67
2025-02-01,10:00,V-Shape,62,TSSC,Spring,780.1,31.3,53.8,74.21,1.26,59.37,1.05,62.4,0.67
2025-02-01,10:15,V-Shape,62,TSSC,Spring,813.0,31.6,54.9,73.87,1.31,59.09,1.1,64.8,0.67
2025-02-01,10:30,V-Shape,62,TSSC,Spring,845.9,31.8,55.9,73.53,1.36,58.82,1.14,67.2,0.67
2025-02-01,10:45,V-Shape,62,TSSC,Spring,878.7,32.0,57.0,73.19,1.42,58.55,1.19,69.6,0.67
2025-02-01,11:00,V-Shape,62,TSSC,Spring,911.6,32.3,58.1,72.85,1.47,58.28,1.23,71.9,0.67
2025-02-01,11:15,V-Shape,62,TSSC,Spring,911.3,32.5,58.3,72.8,1.47,58.24,1.23,71.9,0.67
2025-02-01,11:30,V-Shape,62,TSSC,Spring,910.9,32.6,58.4,72.75,1.47,58.2,1.23,71.8,0.67
2025-02-01,11:45,V-Shape,62,TSSC,Spring,910.6,32.8,58.6,72.7,1.47,58.16,1.23,71.7,0.67
2025-02-01,12:00,V-Shape,62,TSSC,Spring,910.3,33.0,58.7,72.65,1.47,58.12,1.23,71.7,0.67
2025-02-01,12:15,V-Shape,62,TSSC,Spring,890.5,33.0,58.3,72.79,1.44,58.23,1.21,70.2,0.67
2025-02-01,12:30,V-Shape,62,TSSC,Spring,870.7,33.1,57.8,72.93,1.41,58.35,1.18,68.8,0.67
2025-02-01,12:45,V-Shape,62,TSSC,Spring,851.0,33.1,57.4,73.08,1.37,58.46,1.15,67.3,0.67
2025-02-01,13:00,V-Shape,62,TSSC,Spring,831.2,33.1,56.9,73.22,1.34,58.58,1.12,65.8,0.67
2025-02-01,13:15,V-Shape,62,TSSC,Spring,794.4,33.1,55.9,73.54,1.28,58.83,1.07,63.1,0.67
2025-02-01,13:30,V-Shape,62,TSSC,Spring,757.5,33.0,54.9,73.86,1.22,59.08,1.02,60.4,0.67
2025-02-01,13:45,V-Shape,62,TSSC,Spring,720.7,32.9,53.9,74.17,1.16,59.34,0.97,57.7,0.67
2025-02-01,14:00,V-Shape,62,TSSC,Spring,683.9,32.8,52.9,74.49,1.1,59.59,0.92,54.9,0.67
2025-02-01,14:15,V-Shape,62,TSSC,Spring,636.4,32.6,51.5,74.92,1.02,59.94,0.86,51.3,0.67
2025-02-01,14:30,V-Shape,62,TSSC,Spring,589.0,32.5,50.2,75.36,0.94,60.29,0.79,47.7,0.67
2025-02-01,14:45,V-Shape,62,TSSC,Spring,541.5,32.3,48.8,75.79,0.87,60.63,0.73,44.0,0.67
2025-02-01,15:00,V-Shape,62,TSSC,Spring,494.1,32.1,47.4,76.22,0.79,60.98,0.66,40.4,0.67
2025-02-01,15:15,V-Shape,62,TSSC,Spring,432.1,31.8,45.6,76.82,0.69,61.45,0.58,35.5,0.67
2025-02-01,15:30,V-Shape,62,TSSC,Spring,370.2,31.4,43.7,77.41,0.59,61.93,0.49,30.6,0.67
2025-02-01,15:45,V-Shape,62,TSSC,Spring,308.2,31.1,41.8,78.0,0.49,62.4,0.41,25.6,0.67
2025-02-01,16:00,V-Shape,62,TSSC,Spring,246.2,30.8,39.9,78.6,0.39,62.88,0.33,20.6,0.67
2025-02-01,16:15,V-Shape,62,TSSC,Spring,195.3,30.2,38.0,79.2,0.31,63.36,0.26,16.4,0.67
2025-02-01,16:30,V-Shape,62,TSSC,Spring,144.4,29.6,36.2,79.79,0.23,63.84,0.19,12.2,0.67
2025-02-01,16:45,V-Shape,62,TSSC,Spring,93.5,28.9,34.3,80.39,0.15,64.31,0.12,7.9,0.67
2025-02-01,17:00,V-Shape,62,TSSC,Spring,42.6,28.3,32.4,80.99,0.07,64.79,0.06,3.6,0.67
2025-02-01,17:15,V-Shape,62,TSSC,Spring,31.9,27.9,31.7,81.2,0.05,64.96,0.04,2.7,0.67
2025-02-01,17:30,V-Shape,62,TSSC,Spring,21.3,27.5,31.1,81.41,0.03,65.13,0.03,1.8,0.67
2025-02-01,17:45,V-Shape,62,TSSC,Spring,10.6,27.1,30.4,81.62,0.02,65.29,0.01,0.9,0.67
2025-02-02,05:15,V-Shape,62,TSSC,Spring,6.4,22.7,25.8,83.06,0.01,66.45,0.01,0.6,0.67
2025-02-02,05:30,V-Shape,62,TSSC,Spring,12.8,23.0,26.3,82.92,0.02,66.33,0.02,1.1,0.67
2025-02-02,05:45,V-Shape,62,TSSC,Spring,19.2,23.3,26.8,82.77,0.03,66.22,0.03,1.7,0.67
2025-02-02,06:00,V-Shape,62,TSSC,Spring,25.6,23.6,27.2,82.62,0.04,66.1,0.03,2.2,0.67
2025-02-02,06:15,V-Shape,62,TSSC,Spring,66.6,24.2,28.8,82.11,0.1,65.69,0.09,5.8,0.67
2025-02-02,06:30,V-Shape,62,TSSC,Spring,107.7,24.8,30.5,81.6,0.17,65.28,0.14,9.3,0.67
2025-02-02,06:45,V-Shape,62,TSSC,Spring,148.7,25.4,32.1,81.08,0.23,64.86,0.2,12.7,0.67
2025-02-02,07:00,V-Shape,62,TSSC,Spring,189.7,26.0,33.7,80.57,0.3,64.45,0.25,16.2,0.67
2025-02-02,07:15,V-Shape,62,TSSC,Spring,238.0,26.5,35.4,80.03,0.38,64.02,0.32,20.2,0.67
2025-02-02,07:30,V-Shape,62,TSSC,Spring,286.3,27.0,37.1,79.49,0.45,63.59,0.38,24.1,0.67
2025-02-02,07:45,V-Shape,62,TSSC,Spring,334.6,27.5,38.8,78.95,0.53,63.16,0.44,28.1,0.67
2025-02-02,08:00,V-Shape,62,TSSC,Spring,382.9,27.9,40.5,78.42,0.61,62.73,0.51,32.0,0.67
2025-02-02,08:15,V-Shape,62,TSSC,Spring,430.6,28.4,42.2,77.89,0.69,62.31,0.57,35.8,0.67
2025-02-02,08:30,V-Shape,62,TSSC,Spring,478.4,28.9,43.8,77.36,0.76,61.89,0.64,39.5,0.67
2025-02-02,08:45,V-Shape,62,TSSC,Spring,526.2,29.3,45.5,76.84,0.84,61.47,0.7,43.2,0.67
2025-02-02,09:00,V-Shape,62,TSSC,Spring,573.9,29.8,47.2,76.31,0.92,61.05,0.77,46.9,0.67
2025-02-02,09:15,V-Shape,62,TSSC,Spring,621.0,30.2,48.7,75.81,0.99,60.65,0.83,50.5,0.67
2025-02-02,09:30,V-Shape,62,TSSC,Spring,668.2,30.6,50.3,75.31,1.07,60.25,0.9,54.1,0.67
2025-02-02,09:45,V-Shape,62,TSSC,Spring,715.3,31.0,51.9,74.81,1.15,59.85,0.96,57.6,0.67
2025-02-02,10:00,V-Shape,62,TSSC,Spring,762.4,31.4,53.5,74.31,1.23,59.45,1.03,61.1,0.67
2025-02-02,10:15,V-Shape,62,TSSC,Spring,800.5,31.7,54.7,73.91,1.29,59.13,1.08,63.9,0.67
2025-02-02,10:30,V-Shape,62,TSSC,Spring,838.6,32.0,56.0,73.51,1.35,58.81,1.13,66.6,0.67
2025-02-02,10:45,V-Shape,62,TSSC,Spring,876.8,32.3,57.3,73.11,1.42,58.49,1.19,69.4,0.67
2025-02-02,11:00,V-Shape,62,TSSC,Spring,914.9,32.6,58.5,72.72,1.48,58.17,1.24,72.1,0.67
2025-02-02,11:15,V-Shape,62,TSSC,Spring,922.0,32.8,58.9,72.6,1.49,58.08,1.25,72.5,0.67
2025-02-02,11:30,V-Shape,62,TSSC,Spring,929.1,33.0,59.3,72.48,1.5,57.98,1.26,73.0,0.67
2025-02-02,11:45,V-Shape,62,TSSC,Spring,936.2,33.2,59.6,72.36,1.52,57.89,1.27,73.5,0.67
2025-02-02,12:00,V-Shape,62,TSSC,Spring,943.3,33.4,60.0,72.24,1.53,57.79,1.28,73.9,0.67
2025-02-02,12:15,V-Shape,62,TSSC,Spring,925.9,33.5,59.6,72.36,1.5,57.89,1.26,72.7,0.67
2025-02-02,12:30,V-Shape,62,TSSC,Spring,908.5,33.5,59.3,72.48,1.47,57.98,1.23,71.4,0.67
2025-02-02,12:45,V-Shape,62,TSSC,Spring,891.0,33.6,58.9,72.6,1.44,58.08,1.21,70.1,0.67
2025-02-02,13:00,V-Shape,62,TSSC,Spring,873.6,33.7,58.5,72.72,1.41,58.17,1.18,68.8,0.67
2025-02-02,13:15,V-Shape,62,TSSC,Spring,839.3,33.6,57.6,73.01,1.36,58.41,1.14,66.3,0.67
2025-02-02,13:30,V-Shape,62,TSSC,Spring,805.0,33.5,56.7,73.3,1.3,58.64,1.09,63.8,0.67
2025-02-02,13:45,V-Shape,62,TSSC,Spring,770.7,33.5,55.7,73.59,1.24,58.87,1.04,61.3,0.67
2025-02-02,14:00,V-Shape,62,TSSC,Spring,736.4,33.4,54.8,73.89,1.19,59.11,0.99,58.7,0.67
2025-02-02,14:15,V-Shape,62,TSSC,Spring,685.0,33.2,53.3,74.36,1.1,59.48,0.92,54.9,0.67
2025-02-02,14:30,V-Shape,62,TSSC,Spring,633.6,33.0,51.9,74.83,1.02,59.86,0.85,51.0,0.67
2025-02-02,14:45,V-Shape,62,TSSC,Spring,582.2,32.8,50.4,75.3,0.93,60.24,0.78,47.1,0.67
2025-02-02,15:00,V-Shape,62,TSSC,Spring,530.8,32.6,48.9,75.77,0.85,60.61,0.71,43.2,0.67
2025-02-02,15:15,V-Shape,62,TSSC,Spring,467.1,32.2,46.9,76.39,0.75,61.11,0.63,38.2,0.67
2025-02-02,15:30,V-Shape,62,TSSC,Spring,403.5,31.9,44.9,77.01,0.64,61.61,0.54,33.2,0.67
2025-02-02,15:45,V-Shape,62,TSSC,Spring,339.8,31.5,43.0,77.64,0.54,62.11,0.45,28.2,0.67
2025-02-02,16:00,V-Shape,62,TSSC,Spring,276.2,31.1,41.0,78.26,0.44,62.61,0.37,23.0,0.67
2025-02-02,16:15,V-Shape,62,TSSC,Spring,219.5,30.3,38.8,78.96,0.35,63.16,0.29,18.4,0.67
2025-02-02,16:30,V-Shape,62,TSSC,Spring,162.8,29.5,36.6,79.65,0.26,63.72,0.22,13.8,0.67
2025-02-02,16:45,V-Shape,62,TSSC,Spring,106.2,28.8,34.4,80.35,0.17,64.28,0.14,9.0,0.67
2025-02-02,17:00,V-Shape,62,TSSC,Spring,49.5,28.0,32.2,81.04,0.08,64.83,0.07,4.2,0.67
2025-02-02,17:15,V-Shape,62,TSSC,Spring,37.1,27.6,31.5,81.27,0.06,65.02,0.05,3.2,0.67
2025-02-02,17:30,V-Shape,62,TSSC,Spring,24.8,27.1,30.8,81.5,0.04,65.2,0.03,2.1,0.67
2025-02-02,17:45,V-Shape,62,TSSC,Spring,12.4,26.7,30.0,81.73,0.02,65.39,0.02,1.1,0.67
2025-02-03,05:15,V-Shape,62,TSSC,Spring,7.2,21.9,25.1,83.3,0.01,66.64,0.01,0.6,0.67
2025-02-03,05:30,V-Shape,62,TSSC,Spring,14.4,22.2,25.6,83.15,0.02,66.52,0.02,1.3,0.67
2025-02-03,05:45,V-Shape,62,TSSC,Spring,21.6,22.5,26.0,83.01,0.03,66.41,0.03,1.9,0.67
2025-02-03,06:00,V-Shape,62,TSSC,Spring,28.8,22.8,26.5,82.86,0.05,66.29,0.04,2.5,0.67
2025-02-03,06:15,V-Shape,62,TSSC,Spring,77.3,23.3,28.3,82.3,0.12,65.84,0.1,6.7,0.67
2025-02-03,06:30,V-Shape,62,TSSC,Spring,125.9,23.9,30.0,81.73,0.2,65.39,0.17,10.8,0.67
2025-02-03,06:45,V-Shape,62,TSSC,Spring,174.5,24.5,31.8,81.17,0.27,64.93,0.23,14.9,0.67
2025-02-03,07:00,V-Shape,62,TSSC,Spring,223.0,25.0,33.6,80.6,0.35,64.48,0.29,19.0,0.67
2025-02-03,07:15,V-Shape,62,TSSC,Spring,281.7,25.6,35.6,79.97,0.45,63.98,0.37,23.9,0.67
2025-02-03,07:30,V-Shape,62,TSSC,Spring,340.4,26.1,37.6,79.34,0.54,63.47,0.45,28.7,0.67
2025-02-03,07:45,V-Shape,62,TSSC,Spring,399.0,26.6,39.6,78.7,0.63,62.96,0.53,33.4,0.67
2025-02-03,08:00,V-Shape,62,TSSC,Spring,457.7,27.2,41.6,78.07,0.73,62.45,0.61,38.1,0.67
2025-02-03,08:15,V-Shape,62,TSSC,Spring,514.7,27.7,43.5,77.46,0.82,61.97,0.69,42.6,0.67
2025-02-03,08:30,V-Shape,62,TSSC,Spring,571.7,28.1,45.4,76.85,0.91,61.48,0.76,47.0,0.67
2025-02-03,08:45,V-Shape,62,TSSC,Spring,628.7,28.6,47.4,76.25,1.01,61.0,0.84,51.4,0.67
2025-02-03,09:00,V-Shape,62,TSSC,Spring,685.7,29.1,49.3,75.64,1.1,60.51,0.92,55.7,0.67
2025-02-03,09:15,V-Shape,62,TSSC,Spring,726.6,29.6,50.7,75.18,1.17,60.15,0.98,58.7,0.67
2025-02-03,09:30,V-Shape,62,TSSC,Spring,767.5,30.0,52.2,74.73,1.23,59.78,1.03,61.8,0.67
2025-02-03,09:45,V-Shape,62,TSSC,Spring,808.4,30.4,53.6,74.27,1.3,59.41,1.09,64.7,0.67
2025-02-03,10:00,V-Shape,62,TSSC,Spring,849.3,30.8,55.1,73.81,1.37,59.05,1.15,67.7,0.67
2025-02-03,10:15,V-Shape,62,TSSC,Spring,879.2,31.2,56.1,73.47,1.42,58.77,1.19,69.8,0.67
2025-02-03,10:30,V-Shape,62,TSSC,Spring,909.1,31.5,57.2,73.13,1.47,58.5,1.23,71.9,0.67
2025-02-03,10:45,V-Shape,62,TSSC,Spring,939.0,31.8,58.3,72.79,1.52,58.23,1.27,74.0,0.67
2025-02-03,11:00,V-Shape,62,TSSC,Spring,968.8,32.1,59.4,72.45,1.57,57.96,1.31,76.1,0.67
2025-02-03,11:15,V-Shape,62,TSSC,Spring,969.4,32.3,59.6,72.38,1.57,57.9,1.31,76.1,0.67
2025-02-03,11:30,V-Shape,62,TSSC,Spring,970.0,32.5,59.8,72.31,1.57,57.85,1.32,76.1,0.67
2025-02-03,11:45,V-Shape,62,TSSC,Spring,970.6,32.7,60.0,72.24,1.57,57.79,1.32,76.1,0.67
2025-02-03,12:00,V-Shape,62,TSSC,Spring,971.1,33.0,60.2,72.17,1.57,57.74,1.32,76.1,0.67
2025-02-03,12:15,V-Shape,62,TSSC,Spring,943.0,33.0,59.6,72.37,1.53,57.9,1.28,74.0,0.67
2025-02-03,12:30,V-Shape,62,TSSC,Spring,914.8,33.1,59.0,72.57,1.48,58.06,1.24,72.0,0.67
2025-02-03,12:45,V-Shape,62,TSSC,Spring,886.6,33.2,58.3,72.78,1.43,58.22,1.2,69.9,0.67
2025-02-03,13:00,V-Shape,62,TSSC,Spring,858.5,33.2,57.7,72.98,1.39,58.38,1.16,67.8,0.67
2025-02-03,13:15,V-Shape,62,TSSC,Spring,815.0,33.2,56.5,73.34,1.32,58.68,1.1,64.6,0.67
2025-02-03,13:30,V-Shape,62,TSSC,Spring,771.6,33.1,55.4,73.71,1.24,58.97,1.04,61.4,0.67
2025-02-03,13:45,V-Shape,62,TSSC,Spring,728.1,33.0,54.2,74.08,1.17,59.26,0.98,58.2,0.67
2025-02-03,14:00,V-Shape,62,TSSC,Spring,684.7,32.9,53.0,74.45,1.1,59.56,0.92,54.9,0.67
2025-02-03,14:15,V-Shape,62,TSSC,Spring,629.7,32.7,51.5,74.95,1.01,59.96,0.85,50.8,0.67
2025-02-03,14:30,V-Shape,62,TSSC,Spring,574.7,32.5,49.9,75.45,0.92,60.36,0.77,46.6,0.67
2025-02-03,14:45,V-Shape,62,TSSC,Spring,519.7,32.3,48.3,75.96,0.83,60.77,0.7,42.3,0.67
2025-02-03,15:00,V-Shape,62,TSSC,Spring,464.8,32.1,46.7,76.46,0.74,61.17,0.62,38.1,0.67
2025-02-03,15:15,V-Shape,62,TSSC,Spring,408.7,31.7,44.9,77.03,0.65,61.63,0.55,33.7,0.67
2025-02-03,15:30,V-Shape,62,TSSC,Spring,352.7,31.3,43.1,77.6,0.56,62.08,0.47,29.2,0.67
2025-02-03,15:45,V-Shape,62,TSSC,Spring,296.6,30.9,41.3,78.18,0.47,62.54,0.39,24.7,0.67
2025-02-03,16:00,V-Shape,62,TSSC,Spring,240.6,30.4,39.5,78.75,0.38,63.0,0.32,20.1,0.67
2025-02-03,16:15,V-Shape,62,TSSC,Spring,191.8,29.6,37.4,79.41,0.3,63.53,0.25,16.2,0.67
2025-02-03,16:30,V-Shape,62,TSSC,Spring,143.1,28.7,35.3,80.08,0.23,64.06,0.19,12.1,0.67
2025-02-03,16:45,V-Shape,62,TSSC,Spring,94.3,27.8,33.2,80.75,0.15,64.6,0.12,8.0,0.67
2025-02-03,17:00,V-Shape,62,TSSC,Spring,45.5,26.9,31.0,81.41,0.07,65.13,0.06,3.9,0.67
2025-02-03,17:15,V-Shape,62,TSSC,Spring,34.2,26.4,30.3,81.66,0.05,65.33,0.04,2.9,0.67
2025-02-03,17:30,V-Shape,62,TSSC,Spring,22.8,25.9,29.5,81.9,0.04,65.52,0.03,2.0,0.67
2025-02-03,17:45,V-Shape,62,TSSC,Spring,11.4,25.4,28.7,82.15,0.02,65.72,0.01,1.0,0.67
2025-02-04,05:15,V-Shape,62,TSSC,Spring,8.7,19.5,22.7,84.05,0.01,67.24,0.01,0.8,0.67
2025-02-04,05:30,V-Shape,62,TSSC,Spring,17.3,19.9,23.3,83.87,0.03,67.09,0.02,1.5,0.67
2025-02-04,05:45,V-Shape,62,TSSC,Spring,26.0,20.2,23.9,83.68,0.04,66.95,0.03,2.3,0.67
2025-02-04,06:00,V-Shape,62,TSSC,Spring,34.6,20.6,24.5,83.5,0.05,66.8,0.05,3.0,0.67
2025-02-04,06:15,V-Shape,62,TSSC,Spring,89.1,21.4,26.6,82.83,0.14,66.26,0.12,7.7,0.67
2025-02-04,06:30,V-Shape,62,TSSC,Spring,143.6,22.1,28.7,82.16,0.23,65.73,0.19,12.4,0.67
2025-02-04,06:45,V-Shape,62,TSSC,Spring,198.0,22.9,30.8,81.49,0.31,65.19,0.26,17.0,0.67
2025-02-04,07:00,V-Shape,62,TSSC,Spring,252.5,23.6,32.9,80.82,0.4,64.66,0.33,21.6,0.67
2025-02-04,07:15,V-Shape,62,TSSC,Spring,316.3,24.3,35.2,80.11,0.5,64.09,0.42,26.8,0.67
2025-02-04,07:30,V-Shape,62,TSSC,Spring,380.2,24.9,37.4,79.39,0.6,63.51,0.5,32.0,0.67
2025-02-04,07:45,V-Shape,62,TSSC,Spring,444.0,25.6,39.7,78.67,0.7,62.94,0.59,37.2,0.67
2025-02-04,08:00,V-Shape,62,TSSC,Spring,507.9,26.3,42.0,77.96,0.81,62.37,0.68,42.2,0.67
2025-02-04,08:15,V-Shape,62,TSSC,Spring,564.2,26.8,43.9,77.33,0.9,61.87,0.75,46.6,0.67
2025-02-04,08:30,V-Shape,62,TSSC,Spring,620.4,27.4,45.9,76.71,0.99,61.36,0.83,50.9,0.67
2025-02-04,08:45,V-Shape,62,TSSC,Spring,676.7,28.0,47.9,76.08,1.08,60.86,0.91,55.2,0.67
2025-02-04,09:00,V-Shape,62,TSSC,Spring,733.0,28.6,49.9,75.45,1.18,60.36,0.98,59.4,0.67
2025-02-04,09:15,V-Shape,62,TSSC,Spring,774.0,29.0,51.4,74.97,1.24,59.98,1.04,62.4,0.67
2025-02-04,09:30,V-Shape,62,TSSC,Spring,815.1,29.5,52.9,74.49,1.31,59.6,1.1,65.4,0.67
2025-02-04,09:45,V-Shape,62,TSSC,Spring,856.2,30.0,54.4,74.02,1.38,59.21,1.15,68.4,0.67
2025-02-04,10:00,V-Shape,62,TSSC,Spring,897.3,30.5,55.9,73.54,1.45,58.83,1.21,71.3,0.67
2025-02-04,10:15,V-Shape,62,TSSC,Spring,917.0,30.8,56.8,73.27,1.48,58.62,1.24,72.7,0.67
2025-02-04,10:30,V-Shape,62,TSSC,Spring,936.7,31.2,57.6,73.0,1.51,58.4,1.27,74.0,0.67
2025-02-04,10:45,V-Shape,62,TSSC,Spring,956.4,31.5,58.4,72.74,1.55,58.19,1.3,75.4,0.67
2025-02-04,11:00,V-Shape,62,TSSC,Spring,976.1,31.9,59.3,72.47,1.58,57.98,1.32,76.7,0.67
2025-02-04,11:15,V-Shape,62,TSSC,Spring,976.7,32.1,59.5,72.41,1.58,57.93,1.32,76.7,0.67
2025-02-04,11:30,V-Shape,62,TSSC,Spring,977.3,32.3,59.7,72.34,1.58,57.87,1.32,76.7,0.67
2025-02-04,11:45,V-Shape,62,TSSC,Spring,977.8,32.5,59.9,72.28,1.58,57.82,1.33,76.7,0.67
2025-02-04,12:00,V-Shape,62,TSSC,Spring,978.4,32.6,60.1,72.21,1.58,57.77,1.33,76.7,0.67
2025-02-04,12:15,V-Shape,62,TSSC,Spring,958.0,32.7,59.6,72.36,1.55,57.89,1.3,75.2,0.67
2025-02-04,12:30,V-Shape,62,TSSC,Spring,937.7,32.7,59.2,72.5,1.52,58.0,1.27,73.7,0.67
2025-02-04,12:45,V-Shape,62,TSSC,Spring,917.3,32.8,58.7,72.65,1.48,58.12,1.24,72.2,0.67
2025-02-04,13:00,V-Shape,62,TSSC,Spring,897.0,32.8,58.3,72.8,1.45,58.24,1.21,70.7,0.67
2025-02-04,13:15,V-Shape,62,TSSC,Spring,857.4,32.7,57.2,73.15,1.38,58.52,1.16,67.9,0.67
2025-02-04,13:30,V-Shape,62,TSSC,Spring,817.8,32.6,56.0,73.5,1.32,58.8,1.1,65.0,0.67
2025-02-04,13:45,V-Shape,62,TSSC,Spring,778.2,32.5,54.9,73.85,1.25,59.08,1.05,62.0,0.67
2025-02-04,14:00,V-Shape,62,TSSC,Spring,738.6,32.4,53.8,74.19,1.19,59.36,1.0,59.1,0.67
2025-02-04,14:15,V-Shape,62,TSSC,Spring,682.4,32.2,52.2,74.71,1.1,59.77,0.92,54.9,0.67
2025-02-04,14:30,V-Shape,62,TSSC,Spring,626.2,31.9,50.6,75.22,1.0,60.18,0.84,50.6,0.67
2025-02-04,14:45,V-Shape,62,TSSC,Spring,569.9,31.7,49.0,75.74,0.91,60.59,0.76,46.3,0.67
2025-02-04,15:00,V-Shape,62,TSSC,Spring,513.7,31.5,47.3,76.25,0.82,61.0,0.69,42.0,0.67
2025-02-04,15:15,V-Shape,62,TSSC,Spring,450.7,31.1,45.4,76.88,0.72,61.5,0.6,37.1,0.67
2025-02-04,15:30,V-Shape,62,TSSC,Spring,387.6,30.7,43.4,77.5,0.62,62.0,0.52,32.1,0.67
2025-02-04,15:45,V-Shape,62,TSSC,Spring,324.6,30.3,41.4,78.12,0.52,62.5,0.43,27.0,0.67
2025-02-04,16:00,V-Shape,62,TSSC,Spring,261.6,29.9,39.5,78.74,0.42,62.99,0.35,21.9,0.67
2025-02-04,16:15,V-Shape,62,TSSC,Spring,207.5,29.1,37.2,79.45,0.33,63.56,0.28,17.5,0.67
2025-02-04,16:30,V-Shape,62,TSSC,Spring,153.5,28.2,35.0,80.16,0.24,64.13,0.2,13.0,0.67
2025-02-04,16:45,V-Shape,62,TSSC,Spring,99.5,27.3,32.8,80.87,0.16,64.7,0.13,8.5,0.67
2025-02-04,17:00,V-Shape,62,TSSC,Spring,45.4,26.4,30.5,81.58,0.07,65.27,0.06,3.9,0.67
2025-02-04,17:15,V-Shape,62,TSSC,Spring,34.1,25.9,29.8,81.82,0.05,65.45,0.04,2.9,0.67
2025-02-04,17:30,V-Shape,62,TSSC,Spring,22.7,25.4,29.0,82.06,0.04,65.64,0.03,2.0,0.67
2025-02-04,17:45,V-Shape,62,TSSC,Spring,11.4,25.0,28.3,82.29,0.02,65.83,0.01,1.0,0.67
2025-02-05,05:15,V-Shape,62,TSSC,Spring,6.7,20.0,23.2,83.91,0.01,67.13,0.01,0.6,0.67
2025-02-05,05:30,V-Shape,62,TSSC,Spring,13.3,20.4,23.7,83.74,0.02,66.99,0.02,1.2,0.67
2025-02-05,05:45,V-Shape,62,TSSC,Spring,20.0,20.7,24.2,83.57,0.03,66.86,0.03,1.7,0.67
2025-02-05,06:00,V-Shape,62,TSSC,Spring,26.6,21.1,24.8,83.4,0.04,66.72,0.03,2.3,0.67
2025-02-05,06:15,V-Shape,62,TSSC,Spring,75.6,21.9,26.7,82.77,0.12,66.22,0.1,6.6,0.67
2025-02-05,06:30,V-Shape,62,TSSC,Spring,124.7,22.6,28.7,82.15,0.2,65.72,0.16,10.8,0.67
2025-02-05,06:45,V-Shape,62,TSSC,Spring,173.7,23.4,30.7,81.52,0.27,65.21,0.23,14.9,0.67
2025-02-05,07:00,V-Shape,62,TSSC,Spring,222.7,24.1,32.7,80.89,0.35,64.71,0.29,19.0,0.67
2025-02-05,07:15,V-Shape,62,TSSC,Spring,280.0,24.8,34.8,80.22,0.44,64.18,0.37,23.8,0.67
2025-02-05,07:30,V-Shape,62,TSSC,Spring,337.2,25.5,36.9,79.56,0.53,63.65,0.45,28.5,0.67
2025-02-05,07:45,V-Shape,62,TSSC,Spring,394.5,26.1,39.0,78.89,0.63,63.11,0.52,33.1,0.67
2025-02-05,08:00,V-Shape,62,TSSC,Spring,451.8,26.8,41.1,78.23,0.72,62.58,0.6,37.6,0.67
2025-02-05,08:15,V-Shape,62,TSSC,Spring,495.4,27.3,42.7,77.73,0.79,62.18,0.66,41.1,0.67
