Date,Time,ISO_Week,Month,Shape,Spacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-07-01,05:15,27,July,Inverted-V,93,17.15,25.31,20.74,84.68,0.03,67.74,0.02,1.43,0.67
2024-07-01,05:30,27,July,Inverted-V,93,31.49,25.48,21.26,84.51,0.05,67.61,0.04,2.62,0.67
2024-07-01,05:45,27,July,Inverted-V,93,45.84,25.64,21.78,84.35,0.07,67.48,0.06,3.81,0.67
2024-07-01,06:00,27,July,Inverted-V,93,60.18,25.8,22.3,84.18,0.09,67.35,0.07,5.0,0.67
2024-07-01,06:15,27,July,Inverted-V,93,92.49,26.09,23.4,83.83,0.14,67.07,0.11,7.66,0.67
2024-07-01,06:30,27,July,Inverted-V,93,124.79,26.38,24.49,83.49,0.18,66.79,0.15,10.3,0.67
2024-07-01,06:45,27,July,Inverted-V,93,157.1,26.66,25.59,83.14,0.23,66.51,0.19,12.92,0.67
2024-07-01,07:00,27,July,Inverted-V,93,189.41,26.95,26.69,82.79,0.28,66.24,0.23,15.53,0.67
2024-07-01,07:15,27,July,Inverted-V,93,228.28,27.25,27.96,82.39,0.34,65.91,0.28,18.66,0.67
2024-07-01,07:30,27,July,Inverted-V,93,267.15,27.55,29.23,81.99,0.4,65.59,0.33,21.75,0.67
2024-07-01,07:45,27,July,Inverted-V,93,306.03,27.86,30.51,81.58,0.45,65.27,0.38,24.83,0.67
2024-07-01,08:00,27,July,Inverted-V,93,344.9,28.16,31.78,81.18,0.51,64.94,0.43,27.88,0.67
2024-07-01,08:15,27,July,Inverted-V,93,379.03,28.46,32.94,80.82,0.56,64.65,0.47,30.53,0.67
2024-07-01,08:30,27,July,Inverted-V,93,413.15,28.76,34.09,80.45,0.62,64.36,0.52,33.17,0.67
2024-07-01,08:45,27,July,Inverted-V,93,447.28,29.06,35.24,80.08,0.67,64.07,0.56,35.79,0.67
2024-07-01,09:00,27,July,Inverted-V,93,481.41,29.36,36.4,79.72,0.72,63.78,0.6,38.39,0.67
2024-07-01,09:15,27,July,Inverted-V,93,497.0,29.66,37.08,79.5,0.74,63.6,0.62,39.55,0.67
2024-07-01,09:30,27,July,Inverted-V,93,512.6,29.95,37.77,79.28,0.77,63.43,0.64,40.7,0.67
2024-07-01,09:45,27,July,Inverted-V,93,528.19,30.25,38.46,79.07,0.79,63.25,0.66,41.86,0.67
2024-07-01,10:00,27,July,Inverted-V,93,543.78,30.55,39.14,78.85,0.81,63.08,0.68,43.0,0.67
2024-07-01,10:15,27,July,Inverted-V,93,537.31,30.83,39.26,78.81,0.8,63.05,0.67,42.47,0.67
2024-07-01,10:30,27,July,Inverted-V,93,530.83,31.11,39.38,78.78,0.79,63.02,0.67,41.95,0.67
2024-07-01,10:45,27,July,Inverted-V,93,524.36,31.38,39.49,78.74,0.79,62.99,0.66,41.42,0.67
2024-07-01,11:00,27,July,Inverted-V,93,517.88,31.66,39.61,78.7,0.78,62.96,0.65,40.9,0.67
2024-07-01,11:15,27,July,Inverted-V,93,545.76,31.91,40.55,78.4,0.82,62.72,0.69,42.97,0.67
2024-07-01,11:30,27,July,Inverted-V,93,573.64,32.15,41.49,78.11,0.86,62.48,0.72,45.04,0.67
2024-07-01,11:45,27,July,Inverted-V,93,601.52,32.4,42.43,77.81,0.9,62.25,0.76,47.09,0.67
2024-07-01,12:00,27,July,Inverted-V,93,629.4,32.64,43.38,77.51,0.95,62.01,0.79,49.13,0.67
2024-07-01,12:15,27,July,Inverted-V,93,586.06,32.78,42.43,77.81,0.88,62.25,0.74,45.88,0.67
2024-07-01,12:30,27,July,Inverted-V,93,542.72,32.91,41.48,78.11,0.81,62.49,0.68,42.61,0.67
2024-07-01,12:45,27,July,Inverted-V,93,499.37,33.05,40.54,78.41,0.75,62.73,0.63,39.32,0.67
2024-07-01,13:00,27,July,Inverted-V,93,456.03,33.19,39.59,78.71,0.68,62.97,0.57,36.01,0.67
2024-07-01,13:15,27,July,Inverted-V,93,432.9,33.17,38.99,78.9,0.65,63.12,0.54,34.25,0.67
2024-07-01,13:30,27,July,Inverted-V,93,409.78,33.14,38.39,79.09,0.61,63.27,0.51,32.48,0.67
2024-07-01,13:45,27,July,Inverted-V,93,386.65,33.12,37.79,79.28,0.58,63.42,0.48,30.7,0.67
2024-07-01,14:00,27,July,Inverted-V,93,363.53,33.1,37.19,79.47,0.54,63.57,0.45,28.92,0.67
2024-07-01,14:15,27,July,Inverted-V,93,326.84,32.96,36.13,79.8,0.49,63.84,0.41,26.08,0.67
2024-07-01,14:30,27,July,Inverted-V,93,290.16,32.81,35.07,80.14,0.43,64.11,0.36,23.23,0.67
2024-07-01,14:45,27,July,Inverted-V,93,253.47,32.67,34.01,80.48,0.38,64.38,0.32,20.35,0.67
2024-07-01,15:00,27,July,Inverted-V,93,216.79,32.53,32.95,80.81,0.32,64.65,0.27,17.46,0.67
2024-07-01,15:15,27,July,Inverted-V,93,192.51,32.27,32.09,81.08,0.29,64.87,0.24,15.55,0.67
2024-07-01,15:30,27,July,Inverted-V,93,168.23,32.02,31.22,81.36,0.25,65.09,0.21,13.62,0.67
2024-07-01,15:45,27,July,Inverted-V,93,143.95,31.76,30.36,81.63,0.21,65.31,0.18,11.68,0.67
2024-07-01,16:00,27,July,Inverted-V,93,119.66,31.5,29.49,81.91,0.18,65.52,0.15,9.74,0.67
2024-07-01,16:15,27,July,Inverted-V,93,99.48,31.04,28.53,82.21,0.15,65.77,0.12,8.12,0.67
2024-07-01,16:30,27,July,Inverted-V,93,79.3,30.58,27.56,82.52,0.12,66.01,0.1,6.49,0.67
2024-07-01,16:45,27,July,Inverted-V,93,59.12,30.12,26.6,82.82,0.09,66.26,0.07,4.85,0.67
2024-07-01,17:00,27,July,Inverted-V,93,38.93,29.66,25.63,83.13,0.06,66.5,0.05,3.2,0.67
2024-07-01,17:15,27,July,Inverted-V,93,29.2,29.32,25.05,83.31,0.04,66.65,0.04,2.41,0.67
2024-07-01,17:30,27,July,Inverted-V,93,19.47,28.98,24.46,83.5,0.03,66.8,0.02,1.61,0.67
2024-07-01,17:45,27,July,Inverted-V,93,9.73,28.63,23.88,83.68,0.01,66.95,0.01,0.8,0.67
2024-07-02,05:15,27,July,Inverted-V,93,26.2,24.01,19.67,85.02,0.04,68.01,0.03,2.19,0.67
2024-07-02,05:30,27,July,Inverted-V,93,48.31,24.2,20.4,84.78,0.07,67.83,0.06,4.03,0.67
2024-07-02,05:45,27,July,Inverted-V,93,70.42,24.38,21.14,84.55,0.1,67.64,0.09,5.87,0.67
2024-07-02,06:00,27,July,Inverted-V,93,92.53,24.56,21.87,84.32,0.14,67.45,0.11,7.69,0.67
2024-07-02,06:15,27,July,Inverted-V,93,135.78,24.82,23.21,83.89,0.2,67.12,0.17,11.24,0.67
2024-07-02,06:30,27,July,Inverted-V,93,179.03,25.07,24.55,83.47,0.26,66.78,0.22,14.77,0.67
2024-07-02,06:45,27,July,Inverted-V,93,222.27,25.33,25.89,83.05,0.33,66.44,0.28,18.27,0.67
2024-07-02,07:00,27,July,Inverted-V,93,265.52,25.59,27.23,82.62,0.39,66.1,0.33,21.74,0.67
2024-07-02,07:15,27,July,Inverted-V,93,309.44,26.09,28.83,82.11,0.46,65.69,0.38,25.22,0.67
2024-07-02,07:30,27,July,Inverted-V,93,353.36,26.6,30.43,81.61,0.52,65.29,0.44,28.67,0.67
2024-07-02,07:45,27,July,Inverted-V,93,397.28,27.11,32.04,81.1,0.59,64.88,0.49,32.09,0.67
2024-07-02,08:00,27,July,Inverted-V,93,441.2,27.61,33.64,80.59,0.66,64.47,0.55,35.47,0.67
2024-07-02,08:15,27,July,Inverted-V,93,487.93,28.32,35.52,80.0,0.73,64.0,0.61,39.01,0.67
2024-07-02,08:30,27,July,Inverted-V,93,534.65,29.04,37.4,79.4,0.8,63.52,0.67,42.5,0.67
2024-07-02,08:45,27,July,Inverted-V,93,581.38,29.75,39.28,78.81,0.87,63.04,0.73,45.96,0.67
2024-07-02,09:00,27,July,Inverted-V,93,628.11,30.46,41.16,78.21,0.94,62.57,0.79,49.37,0.67
2024-07-02,09:15,27,July,Inverted-V,93,661.72,30.91,42.46,77.8,0.99,62.24,0.83,51.8,0.67
2024-07-02,09:30,27,July,Inverted-V,93,695.34,31.37,43.75,77.39,1.05,61.91,0.88,54.21,0.67
2024-07-02,09:45,27,July,Inverted-V,93,728.95,31.83,45.05,76.98,1.1,61.58,0.92,56.61,0.67
2024-07-02,10:00,27,July,Inverted-V,93,762.57,32.28,46.34,76.57,1.15,61.26,0.96,58.97,0.67
2024-07-02,10:15,27,July,Inverted-V,93,753.84,32.58,46.43,76.54,1.14,61.23,0.95,58.28,0.67
2024-07-02,10:30,27,July,Inverted-V,93,745.11,32.89,46.51,76.52,1.12,61.21,0.94,57.59,0.67
2024-07-02,10:45,27,July,Inverted-V,93,736.38,33.19,46.6,76.49,1.11,61.19,0.93,56.9,0.67
2024-07-02,11:00,27,July,Inverted-V,93,727.65,33.49,46.68,76.46,1.1,61.17,0.92,56.21,0.67
2024-07-02,11:15,27,July,Inverted-V,93,702.31,33.67,46.23,76.61,1.06,61.29,0.89,54.33,0.67
2024-07-02,11:30,27,July,Inverted-V,93,676.97,33.85,45.77,76.75,1.02,61.4,0.85,52.45,0.67
2024-07-02,11:45,27,July,Inverted-V,93,651.63,34.03,45.32,76.89,0.98,61.51,0.82,50.56,0.67
2024-07-02,12:00,27,July,Inverted-V,93,626.29,34.21,44.87,77.04,0.94,61.63,0.79,48.66,0.67
2024-07-02,12:15,27,July,Inverted-V,93,618.58,34.29,44.75,77.07,0.93,61.66,0.78,48.08,0.67
2024-07-02,12:30,27,July,Inverted-V,93,610.86,34.37,44.64,77.11,0.92,61.69,0.77,47.5,0.67
2024-07-02,12:45,27,July,Inverted-V,93,603.15,34.45,44.53,77.14,0.91,61.72,0.76,46.91,0.67
2024-07-02,13:00,27,July,Inverted-V,93,595.44,34.53,44.42,77.18,0.9,61.74,0.75,46.33,0.67
2024-07-02,13:15,27,July,Inverted-V,93,564.21,34.55,43.65,77.42,0.85,61.94,0.71,44.0,0.67
2024-07-02,13:30,27,July,Inverted-V,93,532.98,34.56,42.88,77.66,0.8,62.13,0.67,41.67,0.67
2024-07-02,13:45,27,July,Inverted-V,93,501.75,34.58,42.12,77.91,0.75,62.33,0.63,39.32,0.67
2024-07-02,14:00,27,July,Inverted-V,93,470.52,34.59,41.35,78.15,0.71,62.52,0.59,36.96,0.67
2024-07-02,14:15,27,July,Inverted-V,93,431.57,34.52,40.31,78.48,0.65,62.78,0.54,34.01,0.67
2024-07-02,14:30,27,July,Inverted-V,93,392.62,34.45,39.27,78.81,0.59,63.05,0.49,31.04,0.67
2024-07-02,14:45,27,July,Inverted-V,93,353.66,34.39,38.23,79.14,0.53,63.31,0.44,28.04,0.67
2024-07-02,15:00,27,July,Inverted-V,93,314.71,34.32,37.19,79.47,0.47,63.58,0.39,25.03,0.67
2024-07-02,15:15,27,July,Inverted-V,93,281.77,34.11,36.15,79.8,0.42,63.84,0.35,22.48,0.67
2024-07-02,15:30,27,July,Inverted-V,93,248.83,33.9,35.12,80.12,0.37,64.1,0.31,19.92,0.67
2024-07-02,15:45,27,July,Inverted-V,93,215.89,33.69,34.09,80.45,0.32,64.36,0.27,17.33,0.67
2024-07-02,16:00,27,July,Inverted-V,93,182.95,33.48,33.05,80.78,0.27,64.62,0.23,14.73,0.67
2024-07-02,16:15,27,July,Inverted-V,93,150.94,32.85,31.63,81.23,0.22,64.98,0.19,12.21,0.67
2024-07-02,16:30,27,July,Inverted-V,93,118.92,32.23,30.2,81.68,0.18,65.34,0.15,9.66,0.67
2024-07-02,16:45,27,July,Inverted-V,93,86.91,31.61,28.78,82.13,0.13,65.71,0.11,7.09,0.67
2024-07-02,17:00,27,July,Inverted-V,93,54.9,30.98,27.35,82.58,0.08,66.07,0.07,4.49,0.67
2024-07-02,17:15,27,July,Inverted-V,93,41.17,30.51,26.54,82.84,0.06,66.27,0.05,3.38,0.67
2024-07-02,17:30,27,July,Inverted-V,93,27.45,30.04,25.73,83.1,0.04,66.48,0.03,2.26,0.67
2024-07-02,17:45,27,July,Inverted-V,93,13.72,29.57,24.91,83.36,0.02,66.68,0.02,1.13,0.67
2024-07-03,05:15,27,July,Inverted-V,93,27.18,24.32,20.0,84.91,0.04,67.93,0.03,2.27,0.67
2024-07-03,05:30,27,July,Inverted-V,93,49.97,24.53,20.78,84.66,0.07,67.73,0.06,4.17,0.67
2024-07-03,05:45,27,July,Inverted-V,93,72.76,24.74,21.56,84.42,0.11,67.53,0.09,6.05,0.67
2024-07-03,06:00,27,July,Inverted-V,93,95.55,24.95,22.34,84.17,0.14,67.34,0.12,7.93,0.67
2024-07-03,06:15,27,July,Inverted-V,93,139.7,25.23,23.72,83.73,0.21,66.99,0.17,11.55,0.67
2024-07-03,06:30,27,July,Inverted-V,93,183.85,25.5,25.1,83.3,0.27,66.64,0.23,15.15,0.67
2024-07-03,06:45,27,July,Inverted-V,93,228.01,25.77,26.48,82.86,0.34,66.29,0.28,18.71,0.67
2024-07-03,07:00,27,July,Inverted-V,93,272.16,26.05,27.85,82.42,0.4,65.94,0.34,22.25,0.67
2024-07-03,07:15,27,July,Inverted-V,93,321.42,26.46,29.49,81.91,0.48,65.52,0.4,26.15,0.67
2024-07-03,07:30,27,July,Inverted-V,93,370.68,26.87,31.13,81.39,0.55,65.11,0.46,30.02,0.67
2024-07-03,07:45,27,July,Inverted-V,93,419.94,27.27,32.77,80.87,0.62,64.69,0.52,33.84,0.67
2024-07-03,08:00,27,July,Inverted-V,93,469.21,27.68,34.41,80.35,0.7,64.28,0.59,37.63,0.67
2024-07-03,08:15,27,July,Inverted-V,93,516.89,28.18,36.1,79.81,0.77,63.85,0.65,41.25,0.67
2024-07-03,08:30,27,July,Inverted-V,93,564.57,28.68,37.79,79.28,0.84,63.42,0.71,44.83,0.67
2024-07-03,08:45,27,July,Inverted-V,93,612.25,29.17,39.48,78.74,0.92,62.99,0.77,48.37,0.67
2024-07-03,09:00,27,July,Inverted-V,93,659.93,29.67,41.17,78.21,0.99,62.57,0.83,51.87,0.67
2024-07-03,09:15,27,July,Inverted-V,93,688.68,30.14,42.35,77.83,1.03,62.27,0.87,53.93,0.67
2024-07-03,09:30,27,July,Inverted-V,93,717.43,30.61,43.54,77.46,1.08,61.97,0.9,55.97,0.67
2024-07-03,09:45,27,July,Inverted-V,93,746.18,31.07,44.73,77.08,1.12,61.67,0.94,58.0,0.67
2024-07-03,10:00,27,July,Inverted-V,93,774.93,31.54,45.91,76.71,1.17,61.36,0.98,60.01,0.67
2024-07-03,10:15,27,July,Inverted-V,93,748.52,31.94,45.65,76.79,1.13,61.43,0.94,58.01,0.67
2024-07-03,10:30,27,July,Inverted-V,93,722.1,32.34,45.39,76.87,1.09,61.5,0.91,56.01,0.67
2024-07-03,10:45,27,July,Inverted-V,93,695.69,32.73,45.12,76.96,1.05,61.56,0.88,54.01,0.67
2024-07-03,11:00,27,July,Inverted-V,93,669.28,33.13,44.86,77.04,1.01,61.63,0.84,52.0,0.67
2024-07-03,11:15,27,July,Inverted-V,93,683.29,33.45,45.53,76.83,1.03,61.46,0.86,52.98,0.67
2024-07-03,11:30,27,July,Inverted-V,93,697.3,33.77,46.2,76.62,1.05,61.29,0.88,53.95,0.67
2024-07-03,11:45,27,July,Inverted-V,93,711.32,34.08,46.87,76.4,1.07,61.12,0.9,54.92,0.67
2024-07-03,12:00,27,July,Inverted-V,93,725.33,34.4,47.53,76.19,1.09,60.95,0.92,55.88,0.67
2024-07-03,12:15,27,July,Inverted-V,93,712.46,34.54,47.35,76.25,1.08,61.0,0.9,54.92,0.67
2024-07-03,12:30,27,July,Inverted-V,93,699.6,34.68,47.17,76.31,1.06,61.05,0.88,53.96,0.67
2024-07-03,12:45,27,July,Inverted-V,93,686.73,34.82,46.99,76.37,1.04,61.09,0.87,53.0,0.67
2024-07-03,13:00,27,July,Inverted-V,93,673.87,34.96,46.81,76.42,1.02,61.14,0.85,52.04,0.67
